Date,Time,Close,Delta,Gamma,Strike,TimeToExpiry_Days
2025.10.24,00:00,5673.80,0.990959,0.000186,5000.00,69.0
2025.10.23,00:00,5680.30,0.990985,0.000183,5000.00,70.0
2025.10.22,00:00,5640.80,0.988240,0.000220,5000.00,71.0
2025.10.21,00:00,5675.80,0.990127,0.000192,5000.00,72.0
2025.10.20,00:00,5703.70,0.991238,0.000172,5000.00,73.0
2025.10.17,00:00,5649.30,0.986954,0.000224,5000.00,76.0
2025.10.16,00:00,5627.30,0.984646,0.000247,5000.00,77.0
2025.10.15,00:00,5604.80,0.981833,0.000271,5000.00,78.0
2025.10.14,00:00,5603.00,0.981127,0.000275,5000.00,79.0
2025.10.13,00:00,5580.80,0.977726,0.000299,5000.00,80.0
2025.10.10,00:00,5512.30,0.963272,0.000381,5000.00,83.0
2025.10.09,00:00,5633.50,0.982167,0.000254,5000.00,84.0
2025.10.08,00:00,5660.80,0.984382,0.000232,5000.00,85.0
2025.10.07,00:00,5616.30,0.979273,0.000274,5000.00,86.0
2025.10.06,00:00,5647.20,0.982270,0.000247,5000.00,87.0
2025.10.03,00:00,5665.80,0.982849,0.000236,5000.00,90.0
2025.10.02,00:00,5666.90,0.982553,0.000237,5000.00,91.0
2025.10.01,00:00,5619.10,0.976690,0.000280,5000.00,92.0
2025.09.30,00:00,5544.90,0.963537,0.000354,5000.00,93.0
2025.09.29,00:00,5516.80,0.956407,0.000384,5000.00,94.0
2025.09.26,00:00,5514.30,0.953655,0.000389,5000.00,97.0
2025.09.25,00:00,5470.00,0.939991,0.000437,5000.00,98.0
2025.09.24,00:00,5476.40,0.941274,0.000430,5000.00,99.0
2025.09.23,00:00,5465.30,0.936861,0.000442,5000.00,100.0
2025.09.22,00:00,5457.30,0.933316,0.000451,5000.00,101.0
2025.09.19,00:00,5473.80,0.936623,0.000433,5000.00,104.0
2025.09.18,00:00,5468.00,0.933921,0.000439,5000.00,105.0
2025.09.17,00:00,5386.30,0.899580,0.000526,5000.00,106.0
2025.09.16,00:00,5395.30,0.903033,0.000516,5000.00,107.0
2025.09.15,00:00,5446.90,0.924036,0.000460,5000.00,108.0
2025.09.12,00:00,5406.30,0.904846,0.000501,5000.00,111.0
2025.09.11,00:00,5407.40,0.904552,0.000499,5000.00,112.0
2025.09.10,00:00,5367.30,0.884235,0.000539,5000.00,113.0
2025.09.09,00:00,5397.90,0.898622,0.000507,5000.00,114.0
2025.09.08,00:00,5370.80,0.884477,0.000534,5000.00,115.0
2025.09.05,00:00,5341.30,0.866054,0.000560,5000.00,118.0
2025.09.04,00:00,5361.10,0.876283,0.000539,5000.00,119.0
2025.09.03,00:00,5336.00,0.861483,0.000562,5000.00,120.0
2025.09.02,00:00,5337.80,0.861789,0.000559,5000.00,121.0
2025.09.01,00:00,5372.80,0.880202,0.000524,5000.00,122.0
2025.08.29,00:00,5362.30,0.872516,0.000531,5000.00,125.0
2025.08.28,00:00,5404.00,0.892581,0.000492,5000.00,126.0
2025.08.27,00:00,5394.20,0.887259,0.000500,5000.00,127.0
2025.08.26,00:00,5408.70,0.893348,0.000486,5000.00,128.0
2025.08.25,00:00,5443.70,0.907682,0.000454,5000.00,129.0
2025.08.22,00:00,5495.80,0.924824,0.000408,5000.00,132.0
2025.08.21,00:00,5469.70,0.915078,0.000429,5000.00,133.0
2025.08.20,00:00,5485.50,0.920094,0.000416,5000.00,134.0
2025.08.19,00:00,5476.70,0.916366,0.000423,5000.00,135.0
2025.08.18,00:00,5450.40,0.905803,0.000444,5000.00,136.0
2025.08.15,00:00,5471.80,0.912121,0.000425,5000.00,139.0
2025.08.14,00:00,5462.00,0.907832,0.000433,5000.00,140.0
2025.08.13,00:00,5407.60,0.884311,0.000476,5000.00,141.0
2025.08.12,00:00,5366.50,0.863465,0.000509,5000.00,142.0
2025.08.11,00:00,5345.70,0.851621,0.000525,5000.00,143.0
2025.08.08,00:00,5372.80,0.864307,0.000500,5000.00,146.0
2025.08.07,00:00,5350.70,0.852007,0.000516,5000.00,147.0
2025.08.06,00:00,5274.50,0.805255,0.000573,5000.00,148.0
2025.08.05,00:00,5263.50,0.797333,0.000579,5000.00,149.0
2025.08.04,00:00,5264.80,0.797725,0.000577,5000.00,150.0
2025.08.01,00:00,5188.30,0.740180,0.000624,5000.00,153.0
2025.07.31,00:00,5324.20,0.833120,0.000528,5000.00,154.0
2025.07.30,00:00,5431.00,0.886438,0.000448,5000.00,155.0
2025.07.29,00:00,5390.80,0.867528,0.000477,5000.00,156.0
2025.07.28,00:00,5355.10,0.848783,0.000502,5000.00,157.0
2025.07.25,00:00,5387.80,0.863886,0.000475,5000.00,160.0
2025.07.24,00:00,5363.60,0.851147,0.000492,5000.00,161.0
2025.07.23,00:00,5436.60,0.884993,0.000439,5000.00,162.0
2025.07.22,00:00,5313.50,0.822263,0.000525,5000.00,163.0
2025.07.21,00:00,5340.30,0.837099,0.000505,5000.00,164.0
2025.07.18,00:00,5352.80,0.842393,0.000493,5000.00,167.0
2025.07.17,00:00,5396.00,0.863653,0.000463,5000.00,168.0
2025.07.16,00:00,5356.20,0.843213,0.000489,5000.00,169.0
2025.07.15,00:00,5359.20,0.844301,0.000486,5000.00,170.0
2025.07.14,00:00,5393.70,0.861052,0.000462,5000.00,171.0
2025.07.11,00:00,5395.80,0.860576,0.000458,5000.00,174.0
2025.07.10,00:00,5451.30,0.884426,0.000421,5000.00,175.0
2025.07.09,00:00,5480.90,0.895406,0.000401,5000.00,176.0
2025.07.08,00:00,5401.20,0.861665,0.000452,5000.00,177.0
2025.07.07,00:00,5329.70,0.824658,0.000497,5000.00,178.0
2025.07.04,00:00,5287.80,0.798965,0.000520,5000.00,181.0
2025.07.03,00:00,5350.80,0.834342,0.000480,5000.00,182.0
2025.07.02,00:00,5339.40,0.827819,0.000486,5000.00,183.0
2025.07.01,00:00,5304.20,0.807580,0.000507,5000.00,184.0
2025.06.30,00:00,5320.00,0.816260,0.000496,5000.00,185.0
2025.06.27,00:00,5346.80,0.829665,0.000477,5000.00,188.0
2025.06.26,00:00,5278.40,0.790239,0.000516,5000.00,189.0
2025.06.25,00:00,5268.70,0.783893,0.000521,5000.00,190.0
2025.06.24,00:00,5327.80,0.818201,0.000485,5000.00,191.0
2025.06.23,00:00,5266.70,0.781970,0.000519,5000.00,192.0
2025.06.20,00:00,5234.80,0.760579,0.000533,5000.00,195.0
2025.06.19,00:00,5233.80,0.759637,0.000532,5000.00,196.0
2025.06.18,00:00,5281.80,0.789540,0.000505,5000.00,197.0
2025.06.17,00:00,5281.40,0.788966,0.000504,5000.00,198.0
2025.06.16,00:00,5336.30,0.819723,0.000473,5000.00,199.0
2025.06.13,00:00,5291.50,0.793615,0.000495,5000.00,202.0
2025.06.12,00:00,5377.40,0.839095,0.000446,5000.00,203.0
2025.06.11,00:00,5394.10,0.846626,0.000436,5000.00,204.0
2025.06.10,00:00,5434.70,0.864192,0.000413,5000.00,205.0
2025.06.09,00:00,5428.20,0.861035,0.000416,5000.00,206.0
